"Ativo","Data","Último (R$)","Var. Dia (%)","Var. Sem. (%)","Var. Mês (%)","Var. Ano (%)","Var. 12M (%)","Val. Mín","Val. Máx","Volume"
"SEQL3","17h07","5,06","40,56","44,57","12,44","-33,42","-42,50","3,65","5,19","37,27 M"
"KNRE11","17h08","0,30","15,38","30,43","-23,08","-26,83","-45,45","0,27","0,31","7,9 K"
"S1TX34","16h04","642,60","14,53","14,53","14,53","57,87","108,34","642,60","642,60","302,02 K"
"CEDO3","17h08","24,99","13,59","13,59","4,56","-9,59","56,19","23,00","26,69","73,28 K"
"CTKA4","11h20","21,00","12,90","12,90","10,53","14,13","73,55","19,00","21,00","196,28 K"
"U1HS34","12h49","332,50","11,06","11,06","11,06","107,75","107,75","332,50","332,50","5,32 K"
"PHMO34","16h33","374,68","9,87","9,60","13,69","71,74","72,01","352,00","374,68","417,02 K"
"PEMA11","16h30","34,00","9,68","9,68","-5,56","-27,66","-22,73","34,00","34,00","2,69 K"
"GMCO34","17h05","76,59","9,41","9,45","25,04","76,84","109,89","70,11","77,14","2,57 M"
"I1QY34","16h11","7,44","9,09","7,05","-4,86","-36,57","-35,25","7,25","7,55","7,78 K"
"B1IL34","17h10","24,97","9,09","8,38","-1,69","119,04","95,54","23,15","24,97","87,78 K"
"U1DR34","16h47","252,95","7,85","7,85","7,85","52,08","50,90","229,85","252,95","1,19 K"
"TECN3","17h05","5,65","7,62","1,07","15,31","67,39","73,81","5,22","5,70","2,49 M"
"HYPE3","17h07","28,11","7,45","9,51","7,17","-19,42","-14,28","26,28","28,14","1,35 B"
"MGHT11","16h51","19,29","7,11","7,17","-0,82","-58,33","-55,14","17,89","19,29","70,69 K"
"OIBR4","16h52","10,87","7,09","6,05","-3,03","-33,04","-43,45","9,96","10,89","43,29 K"
"FRIO3","17h16","119,92","7,07","7,07","-27,32","-50,03","135,14","114,00","119,92","81,08 K"
"S1BS34","16h32","13,52","6,79","6,37","19,65","0,60","1,73","12,79","13,52","385,69 K"
"DDNB34","16h25","483,36","6,68","6,68","6,68","31,67","29,93","483,36","483,36","483,36"
"ABBV34","17h12","71,00","6,67","6,05","6,01","55,87","58,66","66,56","71,00","93,28 K"
"G1DS34","17h12","13,14","5,97","6,40","20,44","195,28","151,24","12,81","14,00","122,5 K"
"BLOK11","16h41","178,35","5,22","2,00","8,03","16,97","147,50","172,64","178,35","173 K"
"I1TW34","11h12","362,47","4,86","4,86","4,86","15,63","24,68","362,42","362,47","1,44 K"
"PTNT4","16h47","6,43","4,72","2,06","-2,58","-24,35","-25,35","6,20","6,50","285,31 K"
